date,open,high,low,close,tic
2023-11-25,232.884,235.844,232.19,233.638,BNB
2023-11-25,37711.9,37909.6,37610.8,37747.3,BTC
2023-11-25,15.2758,15.7991,15.1081,15.1249,BTG
2023-11-25,0.0783829,0.0792074,0.0775994,0.0787354,DOGE
2023-11-25,2075.57,2091.84,2066.64,2084.11,ETH
2023-11-25,14.4129,14.9766,14.2996,14.7327,LINK
2023-11-25,0.104633,0.107988,0.10454,0.107844,TRX
2023-11-25,0.62099,0.623524,0.6161,0.621166,XRP
2023-11-26,0.394052,0.395815,0.378448,0.389258,ADA
2023-11-26,233.638,234.634,228.089,232.488,BNB
2023-11-26,37746.0,37835.8,37170.0,37667.6,BTC
2023-11-26,15.1499,15.5592,15.1085,15.2818,BTG
2023-11-26,0.0786974,0.0790168,0.0755812,0.0779186,DOGE
2023-11-26,2084.11,2095.22,2037.32,2077.51,ETH
2023-11-26,14.7314,15.3338,14.4076,14.8577,LINK
2023-11-26,0.107834,0.110012,0.107128,0.108181,TRX
2023-11-26,0.620766,0.637631,0.607343,0.618935,XRP
2023-11-27,0.389264,0.392163,0.371301,0.374487,ADA
2023-11-27,232.286,232.991,222.731,226.505,BNB
2023-11-27,37667.6,37667.6,36716.2,37084.0,BTC
2023-11-27,15.3,15.4783,14.888,15.0383,BTG
2023-11-27,0.0778898,0.081564,0.0768302,0.0777996,DOGE
2023-11-27,2077.51,2077.51,1986.16,2020.42,ETH
2023-11-27,14.8544,15.305,13.8846,14.0676,LINK
2023-11-27,0.10813,0.108141,0.101821,0.101832,TRX
2023-11-27,0.618929,0.618929,0.594219,0.601112,XRP
2023-11-28,0.374517,0.388431,0.369436,0.383322,ADA
2023-11-28,226.505,231.793,224.32,229.733,BNB
2023-11-28,37084.0,38396.6,36871.7,37883.1,BTC
2023-11-28,15.0093,15.2019,14.5,14.9827,BTG
2023-11-28,0.0777996,0.0809948,0.0767479,0.0802055,DOGE
2023-11-28,2020.33,2075.82,1995.39,2050.29,ETH
2023-11-28,14.0683,14.7167,13.7839,14.4904,LINK
2023-11-28,0.101852,0.103749,0.099943,0.1032,TRX
2023-11-28,0.601112,0.614101,0.595754,0.610654,XRP
2023-11-29,0.383522,0.389194,0.37773,0.383426,ADA
2023-11-29,229.733,231.309,226.163,227.427,BNB
2023-11-29,37884.9,38467.7,37584.3,37795.2,BTC
2023-11-29,14.9397,15.7086,14.8876,15.202,BTG
2023-11-29,0.0801935,0.0831188,0.0796524,0.0805907,DOGE
2023-11-29,2050.3,2076.66,2020.08,2029.28,ETH
2023-11-29,14.4899,14.9978,14.4113,14.5805,LINK
2023-11-29,0.1032,0.104091,0.102818,0.103482,TRX
2023-11-29,0.610754,0.617202,0.604242,0.608473,XRP
2023-11-30,0.38345,0.38374,0.371911,0.37585,ADA
2023-11-30,227.427,229.232,225.902,227.236,BNB
2023-11-30,37795.2,38150.8,37510.5,37700.1,BTC
2023-11-30,15.4326,15.4326,14.9018,15.041,BTG
2023-11-30,0.0805915,0.084397,0.0803996,0.0833323,DOGE
2023-11-30,2029.29,2052.57,2021.5,2043.67,ETH
2023-11-30,14.5774,14.8338,14.2689,14.3604,LINK
2023-11-30,0.103483,0.104293,0.10294,0.103557,TRX
2023-11-30,0.608579,0.609979,0.598396,0.605597,XRP
2023-12-01,0.375774,0.385569,0.373775,0.382823,ADA
2023-12-01,227.239,230.046,227.041,228.291,BNB
2023-12-01,37705.6,38996.9,37611.1,38719.3,BTC
2023-12-01,15.0939,15.6314,15.0234,15.5161,BTG
2023-12-01,0.0833332,0.085116,0.0822646,0.0836424,DOGE
2023-12-01,2043.7,2111.71,2040.91,2086.34,ETH
2023-12-01,14.3281,15.0467,14.2749,14.9131,LINK
2023-12-01,0.103548,0.104181,0.10269,0.103161,TRX
2023-12-01,0.605703,0.61454,0.603215,0.612045,XRP
2023-12-02,0.382749,0.397351,0.381983,0.394591,ADA
2023-12-02,228.289,230.199,226.402,228.705,BNB
2023-12-02,38719.3,39732.7,38660.5,39367.1,BTC
2023-12-02,15.5161,15.8521,15.2066,15.8251,BTG
2023-12-02,0.0836424,0.086598,0.0832826,0.0859385,DOGE
2023-12-02,2086.34,2185.96,2084.06,2158.81,ETH
2023-12-02,14.9141,16.2053,14.9076,15.9582,LINK
2023-12-02,0.103171,0.10369,0.102315,0.102997,TRX
2023-12-02,0.612045,0.623168,0.611299,0.618184,XRP
2023-12-03,0.394681,0.403087,0.388047,0.397453,ADA
2023-12-03,228.805,232.007,225.972,228.682,BNB
